SM00101	14_3_3: 14-3-3 homologues
SM00815	AMA-1: Apical membrane antigen 1
SM00656	Amb_all: 
SM00816	Amb_V_allergen: Amb V Allergen
SM00817	Amelin: Ameloblastin precursor (Amelin)
SM00818	Amelogenin: 
SM00644	Ami_2: 
SM00646	Ami_3: 
SM00723	AMOP: Adhesion-associated domain present in MUC4 and other proteins
SM01010	AMPKBI: 5'-AMP-activated protein kinase beta subunit, interation domain
SM01011	AMP_N: Aminopeptidase P, N-terminal domain
SM00104	ANATO: Anaphylatoxin homologous domain
SM00248	ANK: ankyrin repeats
SM01012	ANTAR: 
SM01357	Antimicrobial21: Plant antimicrobial peptide
SM00335	ANX: Annexin repeats
SM00380	AP2: DNA-binding domain in plant proteins such as APETALA2 and EREBPs
SM00518	AP2Ec: AP endonuclease family 2
SM01355	AP3B1_C: Clathrin-adaptor complex-3 beta-1 subunit C-terminal
SM01356	AP4E_app_platf: Adaptin AP4 complex epsilon appendage platform
SM01337	APC10: Anaphase-promoting complex, subunit 10 (APC10)
SM01013	APC2: Anaphase promoting complex (APC) subunit 2
SM01352	APCDDC: Adenomatosis polyposis coli down-regulated 1
SM00223	APPLE: APPLE domain
SM00871	AraC_E_bind: Bacterial transcription activator, effector binding domain
SM00177	ARF: ARF-like small GTPases; ARF, ADP-ribosylation factor
SM01015	Arfaptin: Arfaptin-like domain
SM00105	ArfGap: Putative GTP-ase activating proteins for the small GTPase, ARF
SM01016	Arg_tRNA_synt_N: Arginyl tRNA synthetase N terminal dom
SM01014	ARID: ARID/BRIGHT DNA binding domain
SM00185	ARM: Armadillo/beta-catenin-like repeats
SM01017	Arrestin_C: Arrestin (or S-antigen), C-terminal domain
SM01022	ASCH: 
SM00870	Asparaginase: 
SM01351	Aspzincin_M35: Lysine-specific metallo-endopeptidase
SM00384	AT_hook: DNA binding domain with preference for A/T rich regions
SM00869	Autotransporter: Autotransporter beta-domain
SM00570	AWS: associated with SET domains
SM00536	AXH: domain in Ataxins and HMG containing proteins
SM01018	B12-binding_2: B12 binding domain
SM01020	B2-adapt-app_C: Beta2-adaptin appendage, C-terminal sub-domain
SM01019	B3: B3 DNA binding domain
SM00873	B3_4: B3/4 domain
SM00295	B41: Band 4.1 homologues
SM00874	B5: tRNA synthetase B5 domain
SM00665	B561: Cytochrome b-561 / ferric reductase transmembrane domain.
SM00760	Bac_DnaA_C: Bacterial dnaA protein helix-turn-helix domain
SM00875	BACK: BTB And C-terminal Kelch
SM01021	Bac_rhodopsin: Bacteriorhodopsin-like protein
SM01023	BAF: Barrier to autointegration factor
SM00264	BAG: BAG domains, present in regulator of Hsp70 proteins
SM00439	BAH: Bromo adjacent homology domain
SM00721	BAR: 
SM00520	BASIC: Basic domain in HLH proteins of MYOD family
SM00876	BATS: Biotin and Thiamin Synthesis associated domain
SM00502	BBC: B-Box C-terminal domain
SM00336	BBOX: B-Box-type zinc finger
SM00337	BCL: BCL (B-Cell lymphoma); contains BH1, BH2 regions
SM01024	BCS1_N: 
SM01026	Beach: Beige/BEACH domain
SM01025	BEN: 
SM01027	Beta-Casp: Beta-Casp domain
SM01029	BetaGal_dom2: Beta-galactosidase, domain 2
SM01028	Beta-TrCP_D: D domain of beta-TrCP
SM01037	Bet_v_1: Pathogenesis-related protein Bet v I family
SM01038	Bgal_small_N: Beta galactosidase small chain
SM00265	BH4: BH4 Bcl-2 homology region 4
SM01030	BHD_1: Rad4 beta-hairpin domain 1
SM01031	BHD_2: Rad4 beta-hairpin domain 2
SM01032	BHD_3: Rad4 beta-hairpin domain 3
SM00411	BHL: bacterial (prokaryotic) histone like domain
SM00634	BID_1: Bacterial Ig-like domain (group 1)
SM00635	BID_2: Bacterial Ig-like domain 2
SM01033	BING4CT: BING4CT (NUC141) domain
SM00878	Biotin_carb_C: Biotin carboxylase C-terminal domain
SM00238	BIR: Baculoviral inhibition of apoptosis protein repeat
SM00108	B_lectin: Bulb-type mannose-specific lectin
SM01034	BLUF: Sensors of blue-light using FAD
SM01354	BLVR: Bovine leukaemia virus receptor (BLVR)
SM00877	BMC: 
SM00749	BON: bacterial OsmY and nodulation domain
SM01035	BOP1NT: BOP1NT (NUC169) domain
SM00269	BowB: Bowman-Birk type proteinase inhibitor
SM01036	BP28CT: BP28CT (NUC211) domain
SM00328	BPI1: BPI/LBP/CETP N-terminal domain
SM00329	BPI2: BPI/LBP/CETP C-terminal domain
SM00292	BRCT: breast cancer carboxy-terminal domain
SM01039	BRICHOS: 
SM00501	BRIGHT: BRIGHT, ARID (A/T-rich interaction domain) domain
SM00879	Brix: 
SM00592	BRK: domain in transcription and CHROMO domain helicases
SM00338	BRLZ: basic region leucin zipper
SM01041	BRO1: BRO1-like domain
SM00297	BROMO: bromo domain
SM01040	Bro-N: BRO family, N-terminal domain
SM01042	Brr6_like_C_C: Di-sulfide bridge nucleocytoplasmic transport domain
SM00751	BSD: domain in transcription factors and synapse-associated proteins
SM01043	BTAD: Bacterial transcriptional activator domain
SM00225	BTB: Broad-Complex, Tramtrack and Bric a brac
SM01268	BTD: Beta-trefoil DNA-binding domain
SM00099	btg1: tob/btg1 family
SM00107	BTK: Bruton's tyrosine kinase Cys-rich motif
SM00576	BTP: Bromodomain transcription factors and PHD domain containing proteins
SM01044	Btz: CASC3/Barentsz eIF4AIII binding
SM01045	BURP: 
SM00109	C1: Protein kinase C conserved region 1 (C1) domains (Cysteine-rich domains)
SM01047	C1_4: TFIIH C1-like domain
SM00110	C1Q: Complement component C1q domain.
SM00239	C2: Protein kinase C conserved region 2 (CalB)
SM00643	C345C: Netrin C-terminal Domain
SM00111	C4: C-terminal tandem repeated domain in type 4 procollagens
SM01048	C6: 
SM00832	C8: 
SM00112	CA: Cadherin repeats.
SM01062	Ca_chan_IQ: Voltage gated calcium channel IQ domain
SM01049	Cache_2: 
SM01050	CactinC_cactus: Cactus-binding C-terminus of cactin protein
SM00266	CAD: Domains present in proteins implicated in post-mortem DNA fragmentation
SM00736	CADG: Dystroglycan-type cadherin-like domains.
SM01055	Cadherin_pro: Cadherin prodomain like
SM00113	CALCITONIN: calcitonin
SM00720	calpain_III: 
SM00237	Calx_beta: Domains in Na-Ca exchangers and integrin-beta4
SM01053	CaMBD: Calmodulin binding domain
SM01054	CaM_binding: Plant calmodulin-binding domain
SM01051	CAMSAP_CKK: Microtubule-binding calmodulin-regulated spectrin-associated
SM01056	Candida_ALS_N: Cell-wall agglutinin N-terminal ligand-sugar binding
SM00672	CAP10: Putative lipopolysaccharide-modifying enzyme.
SM01052	CAP_GLY: 
SM01057	Carb_anhydrase: Eukaryotic-type carbonic anhydrase
SM00114	CARD: Caspase recruitment domain
SM01058	CarD_TRCF: CarD-like/TRCF domain
SM00673	CARP: Domain in CAPs (cyclase-associated proteins) and X-linked retinitis pigmentosa 2 gene product.
SM00115	CASc: Caspase, interleukin-1 beta converting enzyme (ICE) homologues
SM00722	CASH:  Domain present in carbohydrate binding proteins and sugar hydrolses
SM01059	CAT: Chloramphenicol acetyltransferase
SM01060	Catalase: 
SM00831	Cation_ATPase_N: Cation transporter/ATPase, N-terminus
SM01061	CAT_RBD: CAT RNA binding domain
SM00637	CBD_II: 
SM00606	CBD_IV: Cellulose Binding Domain Type IV
SM00521	CBF: CCAAT-Binding transcription Factor
SM01064	CBM_10: Cellulose or protein binding domain
SM01065	CBM_2: Starch binding domain
SM01066	CBM_25: Carbohydrate binding domain
SM01067	CBM_3: Cellulose binding domain
SM01063	CBM49: Carbohydrate binding domain CBM49
SM01068	CBM_X: Putative carbohydrate binding domain
SM00116	CBS: Domain in cystathionine beta-synthase and other proteins.
SM01366	c-clamp: 
SM00032	CCP: Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
SM01069	CDC37_C: Cdc37 C terminal domain
SM01070	CDC37_M: Cdc37 Hsp90 binding domain
SM01071	CDC37_N: Cdc37 N terminal kinase binding
SM01072	CDC48_2: Cell division protein 48 (CDC48) domain 2
SM01073	CDC48_N: Cell division protein 48 (CDC48) N-terminal domain
SM01074	Cdc6_C: CDC6, C terminal
SM01075	CDT1: DNA replication factor CDT1 like
SM00674	CENPB: Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.
SM00747	CFEM: 
SM01076	CG-1: 
SM01077	Cg6151-P: Uncharacterized conserved protein CG6151-P
SM01078	CGGC: 
SM00033	CH: Calponin homology domain
SM00880	CHAD: 
SM01079	CHASE: 
SM01080	CHASE2: 
SM01081	CHB_HEX: Putative carbohydrate binding domain
SM00260	CheW: Two component signalling adaptor domain
SM00587	CHK: ZnF_C4 abd HLH domain containing kinases domain
SM00754	CHRD: A domain in the BMP inhibitor chordin and in microbial proteins.
SM00298	CHROMO: Chromatin organization modifier domain
SM00300	ChSh: Chromo Shadow Domain
SM00270	ChtBD1: Chitin binding domain
SM00494	ChtBD2: Chitin-binding domain type 2
SM00495	ChtBD3: Chitin-binding domain type 3
SM00728	ChW: Clostridial hydrophobic, with a conserved W residue, domain.
SM01082	CHZ: Histone chaperone domain CHZ
SM01083	Cir_N: N-terminal domain of CBF1 interacting co-repressor CIR
SM00764	Citrate_ly_lig: Citrate lyase ligase C-terminal domain
SM01085	CK_II_beta: Casein kinase II regulatory subunit
SM01084	CKS: Cyclin-dependent kinase regulatory subunit
SM00035	CLa: CLUSTERIN alpha chain
SM00030	CLb: CLUSTERIN Beta chain
SM00034	CLECT: C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
SM00299	CLH: Clathrin heavy chain repeat homology
SM00680	CLIP: Clip or disulphide knot domain
SM01086	ClpB_D2-small: C-terminal, D2-small domain, of ClpB protein
SM00830	CM_2: Chorismate mutase type II
SM00036	CNH: Domain found in NIK1-like kinases, mouse citron and yeast ROM1, ROM2
SM00100	cNMP: Cyclic nucleotide-monophosphate binding domain
SM00037	CNX: Connexin homologues
SM00881	CoA_binding: CoA binding domain
SM00882	CoA_trans: Coenzyme A transferase
SM00833	CobW_C:  Cobalamin synthesis protein cobW C-terminal domain
SM01092	CO_deh_flav_C: CO dehydrogenase flavoprotein C-terminal domain
SM00762	Cog4: COG4 transport protein
SM01087	COG6: Conserved oligomeric complex COG6
SM01088	Col_cuticle_N: Nematode cuticle collagen N-terminal domain
SM00038	COLFI: Fibrillar collagens C-terminal domain
SM00023	COLIPASE: Colipase
SM01089	Connexin_CCC: Gap junction channel protein cysteine-rich domain
SM01090	Copper-fist: 
SM01091	CorC_HlyC: Transporter associated domain
SM01283	Costars: 
SM01093	CP12: 
SM01094	CpcD: CpcD/allophycocyanin linker domain
SM00577	CPDc: catalytic domain of ctd-like phosphatases
SM01095	Cpl-7: Cpl-7 lysozyme C-terminal domain
SM00883	Cpn10: Chaperonin 10 Kd subunit
SM01096	CPSase_L_D3: Carbamoyl-phosphate synthetase large chain, oligomerisation domain
SM01097	CPSase_sm_chain: Carbamoyl-phosphate synthase small chain, CPSase domain
SM01098	CPSF73-100_C: 
SM01099	CPW_WPC: 
SM00757	CRA: CT11-RanBPM
SM01100	CRAL_TRIO_N: CRAL/TRIO, N-terminal domain
SM00039	CRF: corticotropin-releasing factor
SM01101	CRISPR_assoc: 
SM01102	CRM1_C: CRM1 C terminal
SM01103	CRS1_YhbY: 
SM00040	CSF2: Granulocyte-macrophage colony-simulating factor (GM-CSF)
SM01046	c-SKI_SMAD_bind: c-SKI Smad4 binding domain
SM00357	CSP: Cold shock protein domain
SM00041	CT: C-terminal cystine knot-like domain (CTCK)
SM01104	CTD: Spt5 C-terminal nonapeptide repeat binding Spt4
SM00668	CTLH: C-terminal to LisH motif. 
SM00679	CTNS: Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.
SM00042	CUB: Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
SM00546	CUE: Domain that may be involved in binding ubiquitin-conjugating enzymes (UBCs)
SM00412	Cu_FIST: Copper-Fist
SM00182	CULLIN: Cullin
SM00884	Cullin_Nedd8: Cullin protein neddylation domain
SM00835	Cupin_1: Cupin
SM01109	CUT: 
SM01110	Cutinase: 
SM01111	CVNH: 
SM00605	CW: 
SM01115	cwf21: 
SM01114	CXC: Tesmin/TSO1-like CXC domain
SM00834	CxxC_CXXC_SSSS:  Putative regulatory protein
SM00043	CY: Cystatin-like domain
SM01116	Cyanate_lyase: Cyanate lyase C-terminal domain, Cyanate hydratase
SM00044	CYCc: Adenylyl- / guanylyl cyclase, catalytic domain
SM00385	CYCLIN: domain present in cyclins, TFIIB and Retinoblastoma
SM01332	Cyclin_C: 
SM00230	CysPc: Calpain-like thiol protease family.
SM01117	Cyt-b5: Cytochrome b5-like Heme/Steroid binding domain
SM01118	CYTH: 
SM00885	D5_N: D5 N terminal like
SM00886	Dabb: Stress responsive A/B Barrel Domain
SM00045	DAGKa: Diacylglycerol kinase accessory domain (presumed)
SM00046	DAGKc: Diacylglycerol kinase catalytic domain (presumed)
SM01121	Dak1_2: 
SM01120	Dak2: 
SM00836	DALR_1: DALR anticodon binding domain
SM00840	DALR_2: 
SM00021	DAX: Domain present in Dishevelled and axin
SM01282	DBB: Dof, BCAP, and BANK (DBB) motif
SM01122	DBC1: 
SM01123	DBP10CT: DBP10CT (NUC160) domain
SM01124	DBR1: Lariat debranching enzyme, C-terminal domain
SM00767	DCD: 
SM01125	DCP2: Dcp2, box A domain
SM00537	DCX: Domain in the Doublecortin (DCX) gene product
SM00801	dDENN: Domain always found downstream of DENN domain, found in a variety of signalling proteins
SM01126	DDE_Tnp_IS1595: ISXO2-like transposase domain
SM01127	DDHD: 
SM01128	DDRGK: 
SM00571	DDT: domain in different transcription and chromosome remodeling factors
SM00005	DEATH: DEATH domain, found in proteins involved in cell death (apoptosis).
SM00031	DED: Death effector domain
SM00048	DEFSN: Defensin/corticostatin family
SM01129	DELLA: Transcriptional regulator DELLA protein N terminal
SM00799	DENN: Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN
SM01133	DeoC: DeoC/LacD family aldolase
SM01134	DeoRC: DeoR C terminal sensor domain
SM00049	DEP: Domain found in Dishevelled, Egl-10, and Pleckstrin
SM00487	DEXDc: DEAD-like helicases superfamily
SM00488	DEXDc2: 
SM00489	DEXDc3: 
SM01130	DHDPS: Dihydrodipicolinate synthetase family
SM01131	DHHA2: 
SM01132	DIL: 
SM01135	DIRP: 
SM00050	DISIN: Homologues of snake disintegrins  
SM01136	DKCLD: DKCLD (NUC011) domain
SM00301	DM: Doublesex DNA-binding motif
SM00676	DM10: Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
SM00675	DM11: Domains in hypothetical proteins in Drosophila including 2 in CG15241 and CG9329.
SM00686	DM13: Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
SM00685	DM14: Repeats in fly CG4713, worm Y37H9A.3 and human FLJ20241.
SM00684	DM15: Tandem repeat in fly CG14066 (La related protein), human KIAA0731 and worm R144.7. Unknown function.
SM00683	DM16: Repeats in sea squirt COS41.4, worm R01H10.6, fly CG1126 etc.
SM00692	DM3: Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.
SM00718	DM4_12: DM4/DM12 family of domains in Drosophila melanogaster proteins of unknown function.
SM00690	DM5: Domain of unknown function, currently peculiar to Drosophila.
SM00689	DM6: Cysteine-rich domain currently specific to Drosophila.
SM00688	DM7: Domain of unknown function in Drosophila CG15332, CG15333 and CG18293
SM00697	DM8: Repeats found in several Drosophila proteins.
SM00696	DM9: Repeats found in Drosophila proteins.
SM01137	DMAP_binding: DMAP1-binding Domain
SM00766	DnaG_DnaB_bind: DNA primase DnaG DnaB-binding
SM00271	DnaJ: DnaJ molecular chaperone homology domain
SM01340	DNA_mis_repair: DNA mismatch repair protein, C-terminal domain
SM00476	DNaseIc: deoxyribonuclease I
SM00664	DoH: Possible catecholamine-binding domain present in a variety of eukaryotic proteins.
SM01138	DP: Transcription factor DP
SM00837	DPBB_1: Rare lipoprotein A (RlpA)-like double-psi beta-barrel
SM01139	Drf_FH3: Diaphanous FH3 Domain
SM01140	Drf_GBD: Diaphanous GTPase-binding Domain
SM01141	DRY_EERY: Alternative splicing regulator
SM01119	D-ser_dehydrat: Putative serine dehydratase domain
SM01142	DSHCT: 
SM00051	DSL: delta serrate ligand
SM00195	DSPc: Dual specificity phosphatase, catalytic domain
SM00358	DSRM: Double-stranded RNA binding motif
SM01385	DSS1_SEM1: 
SM01143	DSX_dimer: Doublesex dimerisation domain
SM01144	DTW: 
SM01145	DUF1041: Domain of Unknown Function (DUF1041)
SM01146	DUF1086: Domain of Unknown Function (DUF1086)
SM01147	DUF1087: 
SM01148	DUF1220: Repeat of unknown function (DUF1220)
SM01149	DUF1237: 
SM01150	DUF1338: 
SM01151	DUF1518: 
SM01152	DUF167: 
SM01153	DUF1693: Domain of unknown function (DUF1693)
SM01154	DUF1704: 
SM01155	DUF1713: Mitochondrial domain of unknown function (DUF1713) 
SM01156	DUF1716: Eukaryotic domain of unknown function (DUF1716)
SM01157	DUF1719: 
SM01158	DUF1741: 
SM01159	DUF1744: 
SM01160	DUF1751: Eukaryotic integral membrane protein (DUF1751)
SM01161	DUF1767: 
SM01162	DUF1771: 
SM01163	DUF1785: 
SM01164	DUF1856: 
SM01165	DUF1866: 
SM01166	DUF1899: 
SM01167	DUF1900: 
SM01168	DUF1907: 
SM01169	DUF1943: 
SM01170	DUF1944: 
SM01325	DUF3160: 
SM01346	DUF3385: Domain of unknown function
SM01293	DUF3402: Domain of unknown function (DUF3402)
SM01367	DUF3452: Domain of unknown function (DUF3452)
SM01334	DUF3454: Domain of unknown function
SM01203	DUF3585: 
SM01331	DUF3635: Domain of unknown function
SM01172	DUF3700: 
SM01173	DUF4187: 
SM01174	DUF4205: 
SM01175	DUF4206: 
SM01176	DUF4208: 
SM01177	DUF4210: 
SM01178	DUF4217: 
SM01362	DUF663: Protein of unknown function (DUF663)
SM01179	DUF862: PPPDE putative peptidase domain
SM00695	DUSP: Domain in ubiquitin-specific proteases.
SM00523	DWA: Domain A in dwarfin family proteins
SM00524	DWB: Domain B in dwarfin family proteins
SM01180	DWNN: 
SM00053	DYNc: Dynamin, GTPase
SM01375	Dynein_light: Dynein light chain type 1
SM00694	DysFC: Dysferlin domain, C-terminal region.
SM00693	DysFN: Dysferlin domain, N-terminal region.
SM00572	DZF: domain in DSRM or ZnF_C2H2 domain containing proteins
SM01181	E2_bind: 
SM01372	E2F_TDP: E2F/DP family winged-helix DNA-binding domain
SM00052	EAL: Putative diguanylate phosphodiesterase
SM00887	EB_dh: Ethylbenzene dehydrogenase
SM01284	ECSIT_Cterm: C-terminal domain of the ECSIT protein
SM01182	EF-1_beta_acid: Eukaryotic elongation factor 1 beta central acidic region
SM01183	EF1G: Elongation factor 1 gamma, conserved domain
SM00888	EF1_GNE: EF-1 guanine nucleotide exchange domain
SM00838	EFG_C: Elongation factor G C-terminus
SM00889	EFG_IV: Elongation factor G, domain IV
SM00054	EFh: EF-hand, calcium binding motif
SM01184	efhand_Ca_insen: Ca2+ insensitive EF hand 
SM01185	EFP: Elongation factor P (EF-P) OB domain 
SM00181	EGF: Epidermal growth factor-like domain.
SM00179	EGF_CA: Calcium-binding EGF-like domain
SM00180	EGF_Lam: Laminin-type epidermal growth factor-like domai
SM00001	EGF_like: EGF domain, unclasssified subfamily
SM00027	EH: Eps15 homology domain
SM00652	eIF1a: eukaryotic translation initiation factor 1A
SM00653	eIF2B_5: domain present in translation initiation factor eIF2B and eIF5
SM01186	eIF3_N: eIF3 subunit 6 N terminal domain
SM01376	eIF-5a: Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
SM00515	eIF5C: Domain at the C-termini of GCD6, eIF-2B epsilon, eIF-4 gamma and eIF-5
SM00654	eIF6: translation initiation factor 6
SM00890	EKR: Domain of unknown function
SM00839	ELFV_dehydrog: Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
SM01187	Elicitin: 
SM01188	ELK: 
SM01189	ELM2: 
SM00841	Elong-fact-P_C: Elongation factor P, C-terminal
SM00729	Elp3: Elongator protein 3, MiaB family, Radical SAM
SM01190	EMP24_GP25L: emp24/gp25L/p24 family/GOLD
SM00272	END: Endothelin
SM00478	ENDO3c: endonuclease III
SM00892	Endonuclease_NS: DNA/RNA non-specific endonuclease
SM01192	Enolase_C: Enolase, C-terminal TIM barrel domain 
SM01193	Enolase_N: Enolase, N-terminal domain 
SM01191	ENT: 
SM00273	ENTH: Epsin N-terminal homology (ENTH) domain
SM00026	EPEND: Ependymins
SM00615	EPH_lbd: Ephrin receptor ligand binding domain
SM00891	ERCC4: ERCC4 domain
SM01194	eRF1_1: 
SM00893	ETF: Electron transfer flavoprotein domain
SM00413	ETS: erythroblast transformation specific domain
SM00894	Excalibur: Excalibur calcium-binding domain
SM00479	EXOIII: 
SM00567	EZ_HEAT: E-Z type HEAT repeats
SM01195	FA: FERM adjacent (FA)
SM00231	FA58C: Coagulation factor 5/8 C-terminal domain, discoidin domain
SM00808	FABD: F-actin binding domain (FABD) 
SM01285	FACT-Spt16_Nlob: FACT complex subunit SPT16 N-terminal lobe domain
SM01197	FANCL_C: FANCL C-terminal domain
SM00898	Fapy_DNA_glyco: Formamidopyrimidine-DNA glycosylase N-terminal domain
SM00554	FAS1: Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
SM01343	FATC: 
SM01198	FBA: F-box associated region
SM00579	FBD: domain in FBox and BRCT domain containing plant proteins
SM00186	FBG: Fibrinogen-related domains (FReDs)
SM00256	FBOX: A Receptor for Ubiquitination Targets
SM00236	fCBD: Fungal-type cellulose-binding domain
SM00895	FCD: 
SM00055	FCH: Fes/CIP4 homology domain
SM01199	FDF: 
SM00896	FDX-ACB: Ferredoxin-fold anticodon binding domain
SM00902	Fe_hyd_SSU: Iron hydrogenase small subunit
SM00899	FeoA: 
SM01200	FerA: 
SM01201	FerB: 
SM01202	FerI: 
SM01196	FERM_C: FERM C-terminal PH-like domain 
SM00525	FES: 
SM00441	FF: Contains two conserved F residues
SM00442	FGF: Acidic and basic fibroblast growth factor family.
SM00339	FH: FORKHEAD
SM00498	FH2: Formin Homology 2 Domain
SM00240	FHA: Forkhead associated domain
SM01212	Fib_alpha: Fibrinogen alpha/beta chain family
SM01206	Fibrillarin: 
SM01391	Filament: Intermediate filament protein
SM00057	FIMAC: factor I membrane attack complex
SM01288	FISNA: Fish-specific NACHT associated domain
SM00897	FIST: FIST N domain
SM01204	FIST_C: 
SM01205	FKS1_dom1: 1,3-beta-glucan synthase subunit FKS1
SM00903	Flavin_Reduct: Flavin reductase like domain
SM00904	Flavokinase: Riboflavin kinase
SM01213	Flo11: 
SM00759	Flu_M1_C: Influenza Matrix protein (M1) C-terminal domain
SM00900	FMN_bind: 
SM01214	Fmp27_GFWDK: RNA pol II promoter Fmp27 protein domain
SM01215	Fmp27_SW: RNA pol II promoter Fmp27 protein domain
SM01216	Fmp27_WPPW: RNA pol II promoter Fmp27 protein domain Provide feedback
SM00058	FN1: Fibronectin type 1 domain
SM00059	FN2: Fibronectin type 2 domain
SM00060	FN3: Fibronectin type 3 domain
SM01217	Fn3_like: Fibronectin type III-like domain
SM00905	FolB: Dihydroneopterin aldolase
SM00274	FOLN: Follistatin-N-terminal domain-like
SM01218	FoP_duplication: C-terminal duplication domain of Friend of PRMT1
SM01219	Frataxin_Cyay: Frataxin-like domain
SM00901	FRG: 
SM00063	FRI: Frizzled
SM01330	Frizzled: Frizzled/Smoothened family membrane region
SM01220	FSA_C: Fragile site-associated protein C-terminus
SM01221	FTCD: Formiminotransferase domain
SM01222	FTCD_N: Formiminotransferase domain, N-terminal subdomain
SM01223	FTO_NTD: FTO catalytic domain 
SM00607	FTP: eel-Fucolectin Tachylectin-4 Pentaxrin-1 Domain
SM00842	FtsA: Cell division protein FtsA
SM00843	Ftsk_gamma: 
SM00261	FU: Furin-like repeats
SM00906	Fungal_trans: Fungal specific transcription factor domain
SM00542	FYRC: "FY-rich" domain, C-terminal region
SM00541	FYRN: "FY-rich" domain, N-terminal region
