PIRSF000001	cytochrome c/cytochrome c2
PIRSF000050	cytochrome P450 CYP4B1
PIRSF000051	cytochrome P450 CYP3A5
PIRSF000052	trichodiene oxygenase
PIRSF000053	cytochrome P450
PIRSF000054	cytochrome P450, CYP57A1 type
PIRSF000055	cytochrome P450 52A3
PIRSF000057	cytochrome P450
PIRSF000058	cytochrome P450 CYP97
PIRSF000059	cytochrome P450 CYP106
PIRSF000060	cytochrome P450 PinF1
PIRSF000063	cytochrome P450
PIRSF000065	ferredoxin [2Fe-2S], Clostridium type
PIRSF000066	2Fe-2S ferredoxin
PIRSF000068	zinc-containing ferredoxin
PIRSF000069	polyferredoxin 6x2[4Fe-4S]
PIRSF000070	high potential iron-sulfur protein
PIRSF000071	rubredoxin
PIRSF000072	rubredoxin I
PIRSF000073	rubredoxin II
PIRSF000074	rubredoxin, HupJ type
PIRSF000075	desulforedoxin
PIRSF000076	hydroxylamine reductase
PIRSF000077	thioredoxin
PIRSF000078	glutaredoxin
PIRSF000079	monothiol glutaredoxin, GRX6/GRX7 types
PIRSF000080	blue copper protein, plastocyanin/azurin type
PIRSF000081	phycocyanin
PIRSF000082	allophycocyanin linker protein
PIRSF000083	allophycocyanin linker protein
PIRSF000084	phytochrome, conventional type [Parent=PIRSF800002]
PIRSF000085	phytochrome, Ceratodon type [Parent=PIRSF800002]
PIRSF000086	bacteriophytochrome [Parent=PIRSF800002]
PIRSF000087	photoactive yellow protein
PIRSF000088	flavoprotein wrba
PIRSF000089	electron transfer flavoprotein, alpha subunit
PIRSF000090	electron transfer flavoprotein, beta subunit
PIRSF000091	alcohol dehydrogenase
PIRSF000094	enoyl-[acyl-carrier-protein] reductase (NADH)
PIRSF000095	estradiol 17beta-dehydrogenase
PIRSF000096	peroxisomal trifunctional enzyme HDE
PIRSF000097	aldo-keto reductase
PIRSF000098	homoserine dehydrogenase
PIRSF000099	histidinol dehydrogenase
PIRSF000100	shikimate 5-dehydrogenase
PIRSF000101	D-lactate dehydrogenase
PIRSF000102	L-lactate/malate dehydrogenase
PIRSF000103	hydroxy monocarboxylic acid anion dehydrogenase, HIBADH type
PIRSF000104	hydroxymethylglutaryl-CoA reductase (NADPH)
PIRSF000105	3-hydroxyacyl-CoA dehydrogenase
PIRSF000106	malic enzyme
PIRSF000107	3-isopropylmalate dehydrogenase
PIRSF000108	isocitrate dehydrogenase (NADP)
PIRSF000109	phosphogluconate dehydrogenase (decarboxylating)
PIRSF000110	glucose-6-phosphate dehydrogenase
PIRSF000111	bifunctional aldehyde/alcohol dehydrogenase
PIRSF000112	glycerol dehydrogenase
PIRSF000113	iron-containing alcohol dehydrogenase
PIRSF000114	glycerol-3-phosphate dehydrogenase (NAD)
PIRSF000116	ketol-acid reductoisomerase, Gammaproteobacteria type
PIRSF000117	ketol-acid reductoisomerase, archaeal/bacterial type
PIRSF000118	ketol-acid reductoisomerase, plant type
PIRSF000119	ketol-acid reductoisomerase, fungal type
PIRSF000120	phosphoglycerate dehydrogenase
PIRSF000121	D-3-phosphoglycerate dehydrogenase with ACT domain
PIRSF000124	UDP-glucose/GDP-mannose dehydrogenase
PIRSF000125	UDP-N-acetylmuramate dehydrogenase
PIRSF000126	short chain dehydrogenase
PIRSF000127	xanthine dehydrogenase
PIRSF000129	carbon monoxide dehydrogenase molybdoprotein
PIRSF000130	inosine-5'-monophosphate dehydrogenase
PIRSF000132	uncharacterized protein with IMPDH reductase domain
PIRSF000134	dihydrokaempferol 4-reductase
PIRSF000135	L-lactate dehydrogenase (cytochrome)
PIRSF000136	L-gulonolactone/D-arabinono-1,4-lactone oxidase
PIRSF000137	glucose-methanol-choline oxidoreductase
PIRSF000138	alpha-hydroxy acid dehydrogenase, FMN-dependent
PIRSF000139	glycolate oxidase, iron-sulfur subunit
PIRSF000140	glycerol-3-phosphate dehydrogenase (aerobic)
PIRSF000141	anaerobic glycerol-3-phosphate dehydrogenase, subunit B
PIRSF000142	glycerol-3-phosphate dehydrogenase (anaerobic), subunit C
PIRSF000143	glucose/alcohol/shikimate dehydrogenase
PIRSF000144	molybdopterin-dependent dehydrogenase
PIRSF000145	formate dehydrogenase, gamma subunit
PIRSF000146	formate dehydrogenase chain C
PIRSF000147	NAD-dependent aldehyde dehydrogenase
PIRSF000148	aspartate-semialdehyde dehydrogenase
PIRSF000149	glyceraldehyde-3-phosphate dehydrogenase
PIRSF000150	N-acetyl-gamma-glutamyl-phosphate reductase
PIRSF000151	gamma-glutamyl phosphate reductase
PIRSF000152	pyruvate dehydrogenase (lipoamide) alpha chain
PIRSF000153	arsenate reductase
PIRSF000154	isopenicillin N synthase
PIRSF000155	thiamine pyrophosphate dependent dehydrogenase, E1 component, beta subunit
PIRSF000156	pyruvate dehydrogenase, E1 component
PIRSF000157	2-oxoglutarate dehydrogenase, E1 component
PIRSF000158	2-oxoacid oxidoreductase, beta subunit
PIRSF000159	pyruvate-flavodoxin oxidoreductase
PIRSF000160	pyruvate dehydrogenase complex protein X
PIRSF000161	dihydrodipicolinate reductase
PIRSF000162	protochlorophyllide reductase, subunit N
PIRSF000163	protochlorophyllide reductase chain ChlB, light-independent
PIRSF000164	dihydroorotate dehydrogenase
PIRSF000166	coproporphyrinogen oxidase
PIRSF000167	oxygen independent coproporphyrinogen III oxidase
PIRSF000168	acyl-CoA oxidase
PIRSF000169	succinate dehydrogenase, hydrophobic membrane anchor protein
PIRSF000170	succinate dehydrogenase, cytochrome b558 subunit
PIRSF000171	succinate dehydrogenase, flavoprotein subunit (SDHA/APRA/LASPO)
PIRSF000173	fumarate reductase
PIRSF000176	fumarate reductase/succinate dehydrogenase (ubiquinone), iron-sulfur protein
PIRSF000177	fumarate reductase, cytochrome b subunit
PIRSF000178	succinate dehydrogenase, cytochrome b560 subunit
PIRSF000179	fumarate reductase, subunit D (membrane anchor)
PIRSF000180	fumarate reductase, subunit C (membrane anchor)
PIRSF000181	glycine reductase complex, selenoprotein A component
PIRSF000183	alanine dehydrogenase
PIRSF000184	NAD-dependent glutamate dehydrogenase
PIRSF000185	glutamate dehydrogenase
PIRSF000186	glutamate synthase large subunit/ferredoxin-dependent glutamate synthase
PIRSF000187	glutamate synthase (NADH), eukaryotic type
PIRSF000188	glutamate/phenylalanine/leucine/valine dehydrogenase
PIRSF000189	D-amino-acid oxidase
PIRSF000190	pyridoxamine-phosphate oxidase
PIRSF000191	protein-lysine 6-oxidase
PIRSF000192	amine dehydrogenase, beta subunit
PIRSF000193	pyrroline-5-carboxylate reductase
PIRSF000194	dihydrofolate reductase
PIRSF000195	bifunctional serine hydrolase/dihydrofolate reductase, S. pombe type
PIRSF000196	proline dehydrogenase
PIRSF000197	bifunctional proline dehydrogenase/Delta-1-pyrroline-5-carboxylate dehydrogenase (PutA)
PIRSF000199	dihydrofolate reductase, type II
PIRSF000200	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
PIRSF000201	D-octopine dehydrogenase
PIRSF000202	(R)-6-hydroxynicotine oxidase
PIRSF000203	NAD(P) transhydrogenase, alpha subunit
PIRSF000204	NAD(P) transhydrogenase, beta subunit
PIRSF000205	NAD(P) transhydrogenase (B-specific)
PIRSF000206	cytochrome-b5 reductase
PIRSF000207	sulfite reductase [NADPH], flavoprotein (alpha) component
PIRSF000208	NADPH--cytochrome P450 reductase
PIRSF000209	bifunctional cytochrome P450/NADPH--cytochrome P450 reductase
PIRSF000210	dihydrolipoamide dehydrogenase
PIRSF000212	dihydrolipoamide dehydrogenase
PIRSF000213	thioredoxin reductase
PIRSF000214	thioredoxin reductase / thioredoxin
PIRSF000215	NADH:quinone oxidoreductase (complex I), subunit 1/[NiFe]-hydrogenase-3-type complex, membrane subunit C/D/J
PIRSF000216	NADH dehydrogenase [ubiquinone] (complex I), flavoprotein 2/NADH:quinone oxidoreductase (complex I), NuoE subunit
PIRSF000217	NADH-ubiquinone oxidoreductase, 51 kDa subunit
PIRSF000220	NADP-reducing hydrogenase, subunit B/C homolog
PIRSF000221	NAD(P)H dehydrogenase (quinone) 2
PIRSF000223	NADH dehydrogenase (ubiquinone) chain 2
PIRSF000224	NADH dehydrogenase (ubiquinone) chain 11
PIRSF000227	NADH dehydrogenase (ubiquinone) chain 4
PIRSF000228	NADH dehydrogenase (ubiquinone) chain 5
PIRSF000230	[NiFe]-hydrogenase-3-type complex, large subunit/NADH:quinone oxidoreductase (complex I), 49K/NdhH/NuoD subunit
PIRSF000231	[NiFe]-hydrogenase-3-type complex, fused large subunit/NADH:quinone oxidoreductase (complex I), NuoCD subunit
PIRSF000232	putative nad(p)h nitroreductase ydja
PIRSF000233	nitrate reductase (NADH)
PIRSF000235	GMP reductase
PIRSF000236	flavohemoprotein
PIRSF000237	NADH dehydrogenase
PIRSF000238	alkyl hydroperoxide reductase, subunit F
PIRSF000239	peroxiredoxin, AhpC type
PIRSF000240	dihydropteridine reductase
PIRSF000241	uricase
PIRSF000242	hydroxylamine oxidase
PIRSF000243	cytochrome c-552 precursor (cytochrome c nitrite reductase)
PIRSF000244	sulfite/ferredoxin-nitrite reductase
PIRSF000245	NrfB protein
PIRSF000246	NrfC protein
PIRSF000248	NrfE protein
PIRSF000249	cytochrome c-type synthesis protein
PIRSF000250	NrfF protein
PIRSF000251	NrfG protein
PIRSF000252	nitrate reductase alpha chain
PIRSF000253	nitrate reductase beta chain
PIRSF000254	nitrate reductase gamma chain
PIRSF000255	5,10-methylenetetrahydrofolate reductase (FADH2)
PIRSF000256	nitrous-oxide reductase
PIRSF000257	sulfite oxidase
PIRSF000258	disulfide bond formation protein B (disulfide oxidoreductase B)
PIRSF000260	ferredoxin-thioredoxin reductase, catalytic subunit
PIRSF000261	ferredoxin-thioredoxin reductase chain A
PIRSF000262	methyl coenzyme M reductase, subunit alpha
PIRSF000263	methyl coenzyme M reductase, beta subunit
PIRSF000264	methyl coenzyme M reductase, gamma subunit
PIRSF000266	COI intron 7a protein
PIRSF000267	cytochrome oxidase, subunit 2
PIRSF000268	cytochrome-c oxidase chain I/II
PIRSF000269	Cytochrome c oxidase, subunit 2, mitochondrial type
PIRSF000270	cytochrome-c oxidase, subunit II
PIRSF000272	cytochrome-c oxidase chain IV
PIRSF000274	cytochrome-c oxidase chain V
PIRSF000275	cytochrome-c oxidase chain Va
PIRSF000276	cytochrome c oxidase subunit 4, mitochondrial, fungi and plant type
PIRSF000277	cytochrome-c oxidase, subunit VIa
PIRSF000278	cytochrome-c oxidase, subunit VIb
PIRSF000279	cytochrome-c oxidase chain VIc
PIRSF000281	cytochrome-c oxidase chain VIIa
PIRSF000282	cytochrome-c oxidase, subunit VII
PIRSF000283	cytochrome-c oxidase, subunit VIIa
PIRSF000284	cytochrome-c oxidase chain VIIb
PIRSF000285	cytochrome-c oxidase chain VIIc
PIRSF000286	cytochrome-c oxidase chain VIII
PIRSF000287	cytochrome-c oxidase FixO chain
PIRSF000288	cytochrome-c oxidase FixN chain
PIRSF000289	cytochrome oxidase
PIRSF000290	polyphenol oxidase, plant type
PIRSF000291	laccase
PIRSF000292	ubiquinol oxidase, subunit II
PIRSF000293	peroxidase
PIRSF000294	di-c-type heme protein, MauG/cytochrome c peroxidase type
PIRSF000295	cytochrome-c peroxidase
PIRSF000296	catalase, SrpA type
PIRSF000297	catalase HPI
PIRSF000299	myeloperoxidase
PIRSF000300	thyroid peroxidase precursor
PIRSF000301	peroxinectin
PIRSF000302	BenB protein
PIRSF000303	glutathione peroxidase
PIRSF000304	chloride peroxidase
PIRSF000306	hydrogenase (NiFe) large chain
PIRSF000307	hydrogenase (Fe) large chain
PIRSF000308	NAD-reducing hydrogenase HoxS, alpha subunit
PIRSF000309	NAD-reducing hydrogenase HoxS, gamma subunit
PIRSF000310	uptake hydrogenase, small subunit
PIRSF000311	hydrogenase (Fe) small chain
PIRSF000312	sulfur oxygenase/reductase
PIRSF000313	catechol 2,3-dioxygenase II
PIRSF000314	protocatechuate 3,4-dioxygenase beta chain 
PIRSF000315	lipoxygenase
PIRSF000316	arachidonate 5-lipoxygenase
PIRSF000317	biphenyl-2,3-diol 1,2-dioxygenase
PIRSF000318	R. globerulus biphenyl-2,3-diol 1,2-dioxygenase II
PIRSF000319	tryptophan 2-monooxygenase
PIRSF000320	procollagen-proline,2-oxoglutarate 4-dioxygenase alpha chain
PIRSF000321	procollagen-lysine 5-dioxygenase
PIRSF000322	1-aminocyclopropane-1-carboxylate oxidase
PIRSF000324	peptide-aspartate beta-dioxygenase
PIRSF000325	toluene dioxygenase terminal oxygenase component large chain
PIRSF000326	toluene dioxygenase terminal oxygenase component small chain
PIRSF000327	benzene 1,2-dioxygenase system, ferredoxin component
PIRSF000328	NAD(FAD)-dependent oxidoreductase
PIRSF000329	UbiH protein
PIRSF000330	4-hydroxybenzoate 3-monooxygenase
PIRSF000331	4-hydroxyphenylacetate 3-monooxygenase/4-hydroxyphenylacetate-3-hydroxylase
PIRSF000332	dimethylaniline monooxygenase (N-oxide-forming)
PIRSF000333	nitric-oxide synthase, inducible
PIRSF000334	alkanal monooxygenase [FMN-linked] (bacterial luciferase)
PIRSF000335	alkane 1-monooxygenase
PIRSF000336	tyrosine 3-monooxygenase
PIRSF000337	nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit A
PIRSF000338	peptidylglycine monooxygenase I
PIRSF000339	peptidylglycine monooxygenase II
PIRSF000340	monophenol monooxygenase, fungal type
PIRSF000341	monophenol monooxygenase
PIRSF000342	prostaglandin-endoperoxide synthase
PIRSF000343	heme oxygenase (decyclizing)
PIRSF000344	acyl-CoA desaturase
PIRSF000345	Delta-9 acyl-CoA desaturase with heme/steroid binding domain
PIRSF000346	Delta-9 acyl-ACP desaturase
PIRSF000347	fatty acid (acyl-CoA) desaturase
PIRSF000348	superoxide dismutase [Cu-Zn]
PIRSF000349	superoxide dismutase, Mn/Fe specific
PIRSF000350	mercury(II) reductase, MerA type
PIRSF000352	ceruloplasmin-like multicopper ferroxidase
PIRSF000354	coagulation factor V/coagulation factor VIII
PIRSF000355	ribonucleoside-diphosphate reductase, beta subunit
PIRSF000356	ribonucleoside-diphosphate reductase class I, large subunit
PIRSF000358	anaerobic ribonucleoside-triphosphate reductase class III, large subunit
PIRSF000359	superoxide reductase
PIRSF000361	ferredoxin--NADP reductase
PIRSF000362	ferredoxin--NADP(+) reductase
PIRSF000363	nitrogenase iron protein
PIRSF000365	nitrogenase protein alpha chain, Anabaena type
PIRSF000366	nitrogenase complex component 1, delta subunit
PIRSF000367	dinitrogenase alpha/beta chain
PIRSF000368	anaerobic ribonucleoside-triphosphate reductase class III, small subunit
PIRSF000369	pyruvate formate-lyase activating enzyme with radical SAM domain, PflA type
PIRSF000370	7-carboxy-7-deazaguanine synthase
PIRSF000371	pyruvate formate-lyase activating enzyme with radical SAM domain, YjjW type
PIRSF000372	probable radical-forming protein HI0520
PIRSF000373	probable radical-forming protein MJ0021
PIRSF000374	iron-sulfur cluster assembly protein
PIRSF000375	nitrogen fixation protein NifU
PIRSF000376	acetyl-CoA decarbonylase/synthase complex, gamma subunit
PIRSF000377	acetyl-CoA decarbonylase/synthase complex, delta subunit
PIRSF000378	glycyl radical cofactor protein YfiD
PIRSF000379	formate acetyltransferase
PIRSF000380	formate C-acetyltransferase 2
PIRSF000381	cobalamin-dependent methionine synthase
PIRSF000382	cobalamin-independent methionine synthase
PIRSF000383	phosphatidylethanolamine N-methyltransferase, Fungi type
PIRSF000384	phenylethanolamine N-methyltransferase
PIRSF000385	glycine N-methyltransferase
PIRSF000386	tRNA-(m1G37) methyltransferase
PIRSF000387	thymidylate synthase
PIRSF000388	3-methyl-2-oxobutanoate hydroxymethyltransferase
PIRSF000389	bifunctional dihydrofolate reductase/thymidylate synthase
PIRSF000390	pyridoxal dependent aminotransferase, DegT/DnrJ/EryC1/StrS types
PIRSF000391	MSL leader peptide
PIRSF000392	dimethyladenosine transferase (rRNA adenosine dimethyltransferase)
PIRSF000393	3-demethylubiquinone-9 3-O-methyltransferase
PIRSF000394	adenine-specific methylase, MPN_198 type
PIRSF000395	site-specific methyltransferase (adenine-specific) PaeR7I
PIRSF000396	modification methylase (adenine-specific), M.NlaIII type
PIRSF000397	site-specific DNA-methyltransferase (adenine-specific) CviBIII
PIRSF000398	modification methylase (adenine-specific), M.EcoRV type
PIRSF000401	ribosomal protein L11 methyltransferase
PIRSF000402	type II site-specific DNA-methyltransferase
PIRSF000403	modification methylase (adenine-specific), M.HincII type
PIRSF000404	modification methylase (cytosine-specific), M.EcoRII type
PIRSF000406	site-specific DNA-methyltransferase (adenine-specific) PstI
PIRSF000407	methylated-DNA--protein-cysteine methyltransferase
PIRSF000408	methylphosphotriester-DNA alkyltransferase, AdaA type
PIRSF000409	bifunctional regulatory protein Ada
PIRSF000410	chemotaxis protein methyltransferase 3
PIRSF000411	protein-glutamate O-methyltransferase
PIRSF000412	serine/glycine hydroxymethyltransferase
PIRSF000413	phosphoribosylglycinamide formyltransferase
PIRSF000414	bifunctional purine biosynthesis protein, PurH type
PIRSF000415	aspartate carbamoyltransferase regulatory chain
PIRSF000416	ornithine/aspartate carbamoyltransferase
PIRSF000417	scyllo-inosamine-4-phosphate amidinotransferase
PIRSF000418	transketolase
PIRSF000419	transaldolase
PIRSF000421	phosphatidylcholine-sterol O-acyltransferase
PIRSF000422	N-terminal acetyltransferase A, auxiliary subunit
PIRSF000423	amino-acid N-acetyltransferase with amino acid kinase domain
PIRSF000425	glucosamine-phosphate N-acetyltransferase
PIRSF000426	N-hydroxyarylamine O-acetyltransferase/arylamine N-acetyltransferase/3-amino-5-hydroxybenzoic acid synthase
PIRSF000428	phosphate acetyltransferase
PIRSF000429	acetyl-CoA acetyltransferase
PIRSF000430	carnitine O-acetyltransferase
PIRSF000431	glycerol-3-phosphate O-acyltransferase
PIRSF000432	dihydrolipoamide acetyltransferase
PIRSF000433	pyruvate dehydrogenase complex, dihydrolipoyllysine-residue acetyltransferase component
PIRSF000434	dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system
PIRSF000436	2-oxoacid ferredoxin oxidoreductase
PIRSF000437	glycerol-3-phosphate O-acyltransferase/dihydroxyacetone phosphate acyltransferase
PIRSF000438	galactoside acetyltransferase
PIRSF000439	sterol O-acyltransferase, ACAT/DAG/ARE types
PIRSF000440	chloramphenicol acetyltransferase
PIRSF000441	serine acetyltransferase
PIRSF000442	serine acetyltransferase with SATase N-terminal domain
PIRSF000443	homoserine acetyltransferase
PIRSF000444	5-aminolevulinate synthase [Parent=PIRSF800003]
PIRSF000445	glutamyl-tRNA reductase
PIRSF000446	malonyl CoA-acyl carrier protein transacylase
PIRSF000447	3-oxoacyl-[acyl-carrier-protein] synthase
PIRSF000448	3-oxoacyl-[acyl-carrier-protein] synthase III
PIRSF000449	phosphatidylcholine-sterol acyltransferase
PIRSF000450	homoserine O-succinyltransferase
PIRSF000451	type III polyketide synthase
PIRSF000452	aminoglycoside N6'-acetyltransferase
PIRSF000453	fatty-acid synthase
PIRSF000454	fatty acid synthase, alpha subunit, fungal type
PIRSF000455	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PIRSF000456	acyl-[acyl-carrier-protein]:UDP-N-acetylglucosamine O-acyltransferase
PIRSF000457	gamma-glutamyltransferase
PIRSF000459	protein-glutamine gamma-glutamyltransferase/erythrocyte membrane protein band 4.2
PIRSF000460	glucan phosphorylase
PIRSF000461	sucrose synthase
PIRSF000462	sucrose-phosphate synthase
PIRSF000463	1,4-alpha-glucan branching enzyme
PIRSF000465	glycogenin (glycosyl transferase)
PIRSF000466	chitin synthase Chs4
PIRSF000467	chitin synthase ChsA
PIRSF000469	4-alpha-glucanotransferase
PIRSF000470	DNA beta-glucosyltransferase
PIRSF000471	DNA alpha-glucosyltransferase
PIRSF000472	alpha-(1,6)-fucosyltransferase, eukaryotic type
PIRSF000473	UDP-glucosyltransferase
PIRSF000474	(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase
PIRSF000475	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
PIRSF000476	ecdysteroid UDP-glucosyltransferase
PIRSF000477	purine nucleoside phosphorylase
PIRSF000478	thymidine phosphorylase/pyrimidine-nucleoside phosphorylase
PIRSF000480	hypoxanthine phosphoribosyltransferase
PIRSF000481	uracil phosphoribosyltransferase upp
PIRSF000483	UMP synthase
PIRSF000484	nicotinate phosphoribosyltransferase
PIRSF000485	amidophosphoribosyltransferase
PIRSF000486	ATP phosphoribosyltransferase
PIRSF000487	anthranilate phosphoribosyltransferase
PIRSF000488	xanthine phosphoribosyltransferase
PIRSF000489	poly(ADP-ribose) polymerase
PIRSF000490	diphtheria toxin
PIRSF000491	ADP-ribosyltransferase, phage type
PIRSF000492	prolipoprotein diacylglyceryl transferase
PIRSF000493	prolipoprotein diacylglyceryl transferase homolog
PIRSF000495	imidazole glycerol phosphate synthase, glutamine amidotransferase HisH subunit
PIRSF000496	trans-prenyltransferase
PIRSF000497	methionine adenosyltransferase
PIRSF000498	riboflavin synthase, alpha subunit
PIRSF000499	dihydropteroate synthase
PIRSF000500	bifunctional folic acid synthesis protein
PIRSF000501	dihydropteroate synthase, Campylobacterales type
PIRSF000502	spermidine synthase/putrescine N-methyltransferase
PIRSF000504	fosfomycin resistance protein
PIRSF000505	3-phosphoshikimate 1-carboxyvinyltransferase
PIRSF000506	farnesyl-diphosphate farnesyltransferase
PIRSF000507	isopentenyl transferase
PIRSF000508	hexaprenyl pyrophosphate synthetase, fungal type
PIRSF000509	tryptophan dimethylallyltransferase
PIRSF000510	Thi4 protein
PIRSF000511	thiamine-phosphate pyrophosphorylase
PIRSF000512	thiamine-phosphate pyrophosphorylase, Cyanobacteria type
PIRSF000513	hydroxyethylthiazole kinase
PIRSF000514	pentafunctional AROM protein
PIRSF000515	aspartate aminotransferase/aromatic aminotransferase, tatA type
PIRSF000516	alanine transaminase
PIRSF000517	tyrosine transaminase
PIRSF000518	histidinol-phosphate aminotransferase
PIRSF000520	glutamine-fructose-6-phosphate aminotransferase (isomerizing)
PIRSF000521	4-aminobutyrate/lysine/ornithine transaminase
PIRSF000524	serine--pyruvate aminotransferase
PIRSF000525	phosphoserine aminotransferase
PIRSF000526	hexokinase
PIRSF000527	hexokinase I
PIRSF000528	rhamnulokinase
PIRSF000530	galactokinase
PIRSF000531	fructokinase
PIRSF000532	ATP-dependent phosphofructokinase, prokaryotic type
PIRSF000533	ATP-dependent phosphofructokinase, eukaryotic type
PIRSF000534	ATP-dependent phosphofructokinase, TP0108 type
PIRSF000535	1-phosphofructokinase
PIRSF000538	keto-sugar kinase
PIRSF000539	phosphoribulokinase
PIRSF000541	herpesvirus thymidine kinase
PIRSF000542	saimiriine herpesvirus 1 thymidine kinase
PIRSF000543	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 10
PIRSF000544	adenylylsulfate kinase
PIRSF000545	pantothenate kinase, bacterial type
PIRSF000546	mevalonate kinase/phosphomevalonate kinase
PIRSF000547	protein kinase, phage T7 type
PIRSF000548	cAMP-dependent protein kinase, regulatory subunit
PIRSF000549	serine-protein kinase, PrkA type
PIRSF000550	protein kinase C, alpha/beta/gamma types
PIRSF000551	protein kinase C, delta/epsilon/eta/theta types
PIRSF000552	protein kinase C, mu/nu/D2 types
PIRSF000553	PKC-like protein kinase, ascomycetes type
PIRSF000554	protein kinase C, zeta/iota types
PIRSF000555	RAF proto-oncogene serine/threonine-protein kinase
PIRSF000556	mitogen-activated protein kinase kinase kinase, types 9/10/11
PIRSF000559	cGMP-dependent protein kinase
PIRSF000560	variola virus B12R protein
PIRSF000563	homeobox protein, Pitx/Unc30 types
PIRSF000564	kinase-related transforming protein
PIRSF000565	serine/threonine-protein kinase 1, polyhedrosis virus type
PIRSF000566	serine/threonine-protein kinase, Sbk1 type
PIRSF000567	membrane-associated tyrosine- and threonine-specific Cdc2-inhibitory kinase
PIRSF000568	serine/threonine-protein kinase PknD
PIRSF000569	serine/threonine-protein kinase, mycobacterial type
PIRSF000570	serine/threonine-protein kinase PknF
PIRSF000571	serine/threonine-protein kinase PknL
PIRSF000572	dual specificity protein kinase CLK
PIRSF000573	Pkn6-like serine/threonine-protein kinase
PIRSF000574	serine/threonine-protein kinase PknK
PIRSF000575	wall-associated protein kinase
PIRSF000576	malaria parasite serine/threonine-specific protein kinase PFB0520w
PIRSF000579	serine/threonine-specific protein kinase
PIRSF000580	serine/threonine-protein kinase, ULK1/2 types
PIRSF000581	inhibitor of nuclear factor kappa-B kinase complex alpha-like subunit
PIRSF000582	cAMP-dependent protein kinase catalytic subunit, Dictyostelium PkaC
PIRSF000584	G protein-coupled receptor kinase
PIRSF000585	beta-adrenergic-receptor kinase
PIRSF000586	phosphatidylinositol 3-kinase
PIRSF000587	phosphatidylinositol 3-kinase, Vps34 type
PIRSF000588	C2 phosphatidylinositol 3-kinase
PIRSF000590	Snf1/AMPK-type protein kinase, catalytic subunit
PIRSF000591	protein kinase TIK
PIRSF000592	calcium-dependent protein kinase
PIRSF000594	calcium/calmodulin-dependent protein kinase II
PIRSF000595	calcium/calmodulin-dependent protein kinase, type IV
PIRSF000598	death-associated protein kinase
PIRSF000599	myosin light chain kinase, smooth muscle and non-muscle
PIRSF000600	LIM protein kinase
PIRSF000601	tyrosine-protein kinase, proto-oncogene SRC type
PIRSF000602	tyrosine-protein kinase, TEC type
PIRSF000604	tyrosine-protein kinase, SYK/ZAP-70 type
PIRSF000605	ribosomal protein S6 kinase
